sample_id,custom_time,custom_wer,custom_cer,hf_output,hf_time,hf_wer,hf_cer,avg_custom_time,avg_custom_wer,avg_custom_cer,avg_hf_time,avg_hf_wer,avg_hf_cer
0,0.11030268669128418,100.0,27.77777777777778,Kaikki jättäytyi näin minun varaani.,0.7649219036102295,0.0,0.0,0.05964638736527952,73.51216093416888,19.02191237793439,0.7144176275704438,10.900716633841988,1.9285626423064361
1,0.03158879280090332,66.66666666666667,17.94871794871795,Niin tapaus juoksi kuin vanhaa latuaan.,0.6177489757537842,0.0,0.0,0.05964638736527952,73.51216093416888,19.02191237793439,0.7144176275704438,10.900716633841988,1.9285626423064361
2,0.07140779495239258,53.84615384615385,12.244897959183673,"He eivät tulisi ikinä pääsemään lähellekään näitä planeettoja, mikäli Marsin johto pysyisi samana.",1.0382120609283447,0.0,0.0,0.05964638736527952,73.51216093416888,19.02191237793439,0.7144176275704438,10.900716633841988,1.9285626423064361
3,0.05107712745666504,100.0,24.0,Aivan entisensä neikonen.,0.5049057006835938,33.333333333333336,16.0,0.05964638736527952,73.51216093416888,19.02191237793439,0.7144176275704438,10.900716633841988,1.9285626423064361
4,0.05239582061767578,33.333333333333336,6.0606060606060606,"Äänestin kuitenkin sen puolesta, koska ei ole muutakaan mietintöä.",0.836982011795044,0.0,0.0,0.05964638736527952,73.51216093416888,19.02191237793439,0.7144176275704438,10.900716633841988,1.9285626423064361
5,0.037542104721069336,80.0,17.857142857142858,Hän juttelee yhtä ja toista.,0.5350346565246582,0.0,0.0,0.05964638736527952,73.51216093416888,19.02191237793439,0.7144176275704438,10.900716633841988,1.9285626423064361
6,0.07806730270385742,81.81818181818181,19.78021978021978,"Olimme kulkeneet pitkän tien yhdessä, mutta nautimme yhä toistemme seurasta kosketuksesta.",1.0262393951416016,9.090909090909092,1.098901098901099,0.05964638736527952,73.51216093416888,19.02191237793439,0.7144176275704438,10.900716633841988,1.9285626423064361
7,0.0838162899017334,100.0,54.76190476190476,Emme tarvitsisi hänestä toista vihollista.,0.6426408290863037,0.0,0.0,0.05964638736527952,73.51216093416888,19.02191237793439,0.7144176275704438,10.900716633841988,1.9285626423064361
8,0.03800082206726074,75.0,7.6923076923076925,Äänestimme tietenkin mietintöä vastaan.,0.6357922554016113,0.0,0.0,0.05964638736527952,73.51216093416888,19.02191237793439,0.7144176275704438,10.900716633841988,1.9285626423064361
9,0.060237884521484375,88.88888888888889,46.03174603174603,Toivottavasti se juoksisi pakoon suolle päin ja upoaisi sinne.,0.8053698539733887,11.11111111111111,1.5873015873015872,0.05964638736527952,73.51216093416888,19.02191237793439,0.7144176275704438,10.900716633841988,1.9285626423064361
10,0.037683963775634766,100.0,34.78260869565217,Forsman oli ällistynyt.,0.4923524856567383,0.0,0.0,0.05964638736527952,73.51216093416888,19.02191237793439,0.7144176275704438,10.900716633841988,1.9285626423064361
11,0.08757376670837402,80.0,39.39393939393939,“Me otetaa se mielellämme mukaa.”,0.6674609184265137,0.0,0.0,0.05964638736527952,73.51216093416888,19.02191237793439,0.7144176275704438,10.900716633841988,1.9285626423064361
12,0.07221436500549316,66.66666666666667,14.285714285714286,Häntä alkoi pelottaa.,0.5284698009490967,0.0,0.0,0.05964638736527952,73.51216093416888,19.02191237793439,0.7144176275704438,10.900716633841988,1.9285626423064361
